Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
1,Innovate Industries,Email,Men 18-24,30 days,Google Ads,4%,"$16,174.00",6.29,Chicago,Spanish,506,1922,6,Health & Wellness,01-01-2021
2,NexGen Systems,Email,Women 35-44,60 days,Google Ads,12%,"$11,566.00",5.61,New York,German,116,7523,7,Fashionistas,02-01-2021
3,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,7%,"$10,200.00",7.18,Los Angeles,French,584,7698,1,Outdoor Adventurers,03-01-2021
4,DataTech Solutions,Display,All Ages,60 days,YouTube,11%,"$12,724.00",5.55,Miami,Mandarin,217,1820,7,Health & Wellness,04-01-2021
5,NexGen Systems,Email,Men 25-34,15 days,YouTube,5%,"$16,452.00",6.5,Los Angeles,Mandarin,379,4201,3,Health & Wellness,05-01-2021
6,DataTech Solutions,Display,All Ages,15 days,Instagram,7%,"$9,716.00",4.36,New York,German,100,1643,1,Foodies,06-01-2021
7,NexGen Systems,Email,Women 35-44,60 days,Website,13%,"$11,067.00",2.86,Los Angeles,Spanish,817,8749,10,Tech Enthusiasts,07-01-2021
8,DataTech Solutions,Search,Men 18-24,45 days,Google Ads,8%,"$13,280.00",5.55,Los Angeles,Mandarin,624,7854,7,Outdoor Adventurers,08-01-2021
9,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,9%,"$18,066.00",6.73,Chicago,German,861,1754,6,Tech Enthusiasts,09-01-2021
10,TechCorp,Email,Women 35-44,15 days,Instagram,9%,"$13,766.00",3.78,Los Angeles,English,642,3856,3,Tech Enthusiasts,10-01-2021
11,NexGen Systems,Display,Men 25-34,45 days,Email,12%,"$8,590.00",3.49,New York,Spanish,321,6628,10,Tech Enthusiasts,11-01-2021
12,Innovate Industries,Influencer,Men 25-34,60 days,Google Ads,5%,"$17,502.00",3.59,Los Angeles,Mandarin,659,8948,1,Foodies,12-01-2021
13,TechCorp,Social Media,Men 25-34,60 days,Facebook,9%,"$17,189.00",4.91,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,13-01-2021
